question_idx,question,answer,context,title,keyword,article_url
medicine_1846,"Với vị thuốc Càng cua, ta có thể dùng thêm những loại thực phẩm bổ sung nào để hỗ trợ điều trị đái tháo đường?","Với Càng cua, ta có thể dùng thêm ếch để chế biến món hỗ trợ điều trị đái tháo đường.","Rau Càng cua 100g rửa sạch bóp giấm (có thể dùng chanh), ếch 1 con (100g), lột da, làm sạch bỏ đầu, lấy thịt tẩm bột, rán chín vàng. Tất cả trộn đều, ăn tuần 2-3 lần",Một số cách sử dụng vị thuốc - Hỗ trợ điều trị đái tháo đường,Càng cua,https://youmed.vn/tin-tuc/cang-cua-loai-rau-quen-thuoc-loi-hay-hai/
medicine_8423,"Công dụng rõ ràng nhất của nhân sâm trên tế bào mỡ trắng, nâu là gì?",Nhân sâm giúp giảm đường kính tế bào mỡ trắng và nâu.,"Năm 2001, Chung et al. báo cáo rằng sử dụng đường uống của rễ Nhân sâm cho chuột KKAy mắc bệnh tiểu đường trong 4 tuần làm giảm mức đường huyết tương tự như thuốc nhạy cảm với insulin. Năm 2004, đã có báo cáo rằng chiết xuất ethanol trong Nhân sâm hoang dã có thể ngăn ngừa đái tháo đường tuýp 2 và béo phì ở chuột IRC thông qua việc cải thiện chỉ số kháng insulin và giảm đường kính tế bào mỡ trắng và nâu.",Hoạt tính sinh học - Chống đái tháo đường,Nhân sâm,https://youmed.vn/tin-tuc/nhan-sam-nhung-dieu-ban-co-the-chua-biet/
medicine_3383,Các bằng chứng cho đến nay cho thấy chất nào từ cây cỏ ngọt là an toàn?,Bằng chứng cho đến nay cho thấy glycoside steviol từ cỏ ngọt là an toàn.,"Trong nghiên cứu về đặc tính chống bệnh tiểu đường của chiết xuất nước từ lá trong bệnh tiểu đường do Streptozotocin gây ra ở chuột bạch tạng. Người ta kết luận rằng dung dịch nước của cây Cỏ ngọt có tác dụng chống tiểu đường ở chuột bạch tạng, và do đó có thể là liệu pháp dinh dưỡng đầy hứa hẹn để kiểm soát bệnh tiểu đường và các biến chứng liên quan của nó. Bằng chứng cho đến nay cho thấy glycoside steviol từ Cỏ ngọt là an toàn. Chất này không gây bệnh, không gây tăng huyết áp và có tác động tối thiểu đến hệ vi sinh vật đường ruột. Các nghiên cứu trên người đã báo cáo không có tác dụng phụ tiêu cực nào trên đường tiêu hóa. Khi được sử dụng để thay thế carbohydrate và đường trong chế độ ăn, các nghiên cứu với glycoside steviol có độ tinh khiết cao ở những người khỏe mạnh và những người mắc bệnh tiểu đường hỗ trợ giảm lượng đường trong máu sau ăn cũng như giảm lượng đường và năng lượng. Không có bằng chứng nào cho thấy sự thèm ăn đường hoặc các sản phẩm ngọt tăng lên khi tiêu thụ LNCS (chất tạo ngọt ít hoặc không có calo) hoặc thực phẩm chứa stevia. Do đó, chất làm ngọt chiết xuất từ ​​lá stevia là một công cụ hữu ích và quan trọng trong việc giảm lượng đường và calo, bệnh tiểu đường, quản lý cân nặng và lối sống lành mạnh. >> Xem thêm: Các dấu hiệu nhận biết và chẩn đoán đái tháo đường",Tác dụng dược lý - Chống đái tháo đường,Cỏ ngọt,https://youmed.vn/tin-tuc/co-ngot-giai-phap-cho-benh-nhan-tieu-duong/
medicine_4514,Các alkaloid có trong nước dừa cạn có khả năng ức chế men nào?:,"Vitamin E và tinh chất dừa cạn ức chế men protein tyrosinne quinase, giảm 25% và các lần thải ra tế bào beta của tuyến tụy tăng hơn 70 lần.","Dừa cạn từ lâu đã được người dân địa phương ở nhiều quốc gia sử dụng để trị bệnh tiểu đường. Đã có nhiều thử nghiệm nghiên cứu về tác dụng này của dừa cạn. Kết quả cho thấy các hợp chất alkaloid vindoline, vindolidine, vindolicine và vindolinine, giúp làm tăng khả năng hấp thu glucose của các tế bào β-TC6 hoặc C2C12 của tụy. Ngoài ra còn có khả năng ức chế protein tyrosine phosphatase-1B (PTP-1B).",Dừa cạn có tác dụng gì ? - Hỗ trợ điều trị Đái tháo đường,Dừa cạn,https://youmed.vn/tin-tuc/dua-can-thuc-hu-ve-cong-dung-tri-ung-thu/
medicine_13369,Đan sâm có độc tính không?,Các nghiên cứu về độc tính cấp và bán cấp đã ủng hộ quan điểm rằng Đan sâm được dung nạp tốt.,"Đan sâm thể hiện các hoạt động chống bệnh tiểu đường bằng cách điều trị các bệnh mạch máu lớn và nhỏ trong các thí nghiệm tiền lâm sàng và thử nghiệm lâm sàng thông qua việc cải thiện cân bằng nội môi oxy hóa khử và ức chế quá trình apoptosis và viêm thông qua điều chỉnh nhiều kênh tín hiệu trong cơ thể. Tác dụng chống đái tháo đường của loại thảo mộc này có thể liên quan đến các đặc tính cải thiện lưu thông máu và làm giảm ứ trệ máu theo Y học cổ truyền. Các thành phần chính của Đan sâm bao gồm axit salvianolic và tanshinones diterpenoid, đã được nghiên cứu kỹ trên động vật bị tiểu đường. Các nghiên cứu về độc tính cấp và bán cấp đã ủng hộ quan điểm rằng Đan sâm được dung nạp tốt.",Tác dụng dược lý Đan sâm - 5 Chống đái tháo đường,Đan sâm,https://youmed.vn/tin-tuc/dan-sam-vi-thuoc-lam-tan-huyet-u/
medicine_8424,Nhân sâm có khả năng ngăn ngừa bệnh gì ở chuột IRC?,Bệnh tiểu đường tuýp 2 và béo phì.,"Năm 2001, Chung et al. báo cáo rằng sử dụng đường uống của rễ Nhân sâm cho chuột KKAy mắc bệnh tiểu đường trong 4 tuần làm giảm mức đường huyết tương tự như thuốc nhạy cảm với insulin. Năm 2004, đã có báo cáo rằng chiết xuất ethanol trong Nhân sâm hoang dã có thể ngăn ngừa đái tháo đường tuýp 2 và béo phì ở chuột IRC thông qua việc cải thiện chỉ số kháng insulin và giảm đường kính tế bào mỡ trắng và nâu.",Hoạt tính sinh học - Chống đái tháo đường,Nhân sâm,https://youmed.vn/tin-tuc/nhan-sam-nhung-dieu-ban-co-the-chua-biet/
medicine_595,Cách sử dụng bài thuốc từ Bông ổi để chữa bệnh đái tháo đường như thế nào?,"Đem 40g cây bông ổi đã chuẩn bị nấu với 1 lít nước. Đun sôi khoảng 5 phút thì tắt bếp. Gạn ra để nguội và uống nhiều lần trong ngày như uống trà, giúp ổn định đường huyết trong máu, làm giảm hiện tượng tiểu khát ở bệnh nhân đái tháo đường.","- Thành phần của bài thuốc bao gồm 40g cây bông ổi khô. Dùng cả cành, lá và hoa của cây.
- Đem nấu với 1 lít nước. Đun sôi khoảng 5 phút thì tắt bếp
- Gạn ra, để nguội uống nhiều lần trong ngày như uống trà có tác dụng ổn định đường huyết trong máu, giúp bệnh nhân bị tiểu đường giảm bớt hiện tượng tiêu khát. >> Mời bạn tham khảo Top 7 loại trà dành cho người tiểu đường mà bạn cần biết",Một số cách sử dụng vị thuốc - Chữa bệnh đái tháo đường (tiểu đường),Bông ổi,https://youmed.vn/tin-tuc/cay-bong-oi-cay-thuoc-mang-mau-sac-cau-vong/
medicine_1847,Càng cua có thể dùng để chế biến thành món ăn gì để hỗ trợ điều trị đái tháo đường?,Càng cua có thể dùng để chế biến thành món thịt ếch xào cùng với Càng cua.,"Rau Càng cua 100g rửa sạch bóp giấm (có thể dùng chanh), ếch 1 con (100g), lột da, làm sạch bỏ đầu, lấy thịt tẩm bột, rán chín vàng. Tất cả trộn đều, ăn tuần 2-3 lần",Một số cách sử dụng vị thuốc - Hỗ trợ điều trị đái tháo đường,Càng cua,https://youmed.vn/tin-tuc/cang-cua-loai-rau-quen-thuoc-loi-hay-hai/
medicine_10504,Thiên hoa phấn có thành phần nào có tác dụng hạ đường huyết?,"Các polysacharid gồm glycose, galactose, fructose, manose, xylose trong Thiên hoa phấn có tác dụng hạ đường huyết.","Lectin được chiết xuất từ Thiên hoa phấn cũng cho thấy tác dụng hạ đường huyết trên chuột đái tháo đường phụ thuộc insulin. Ngoài ra, các polysacharid gồm glycose, galactose, fructose, manose, xylose cũng được chứng minh có tác dụng hạ đường huyết. Vị thuốc này còn cho thấy vai trò trong việc giảm biến chứng của bệnh đái tháo đường.",Các nghiên cứu về Thiên hoa phấn - Hỗ trợ điều trị đái tháo đường,Thiên hoa phấn,https://youmed.vn/tin-tuc/thien-hoa-phan-co-cong-dung-gi/
medicine_8422,Có bằng chứng khoa học nào về tác dụng chống tiểu đường của nhân sâm không?,"Có, có nhiều nghiên cứu khác nhau đã chứng minh tác dụng chống tiểu đường của nhân sâm, trong đó có nghiên cứu của Chung et al. (2001) và nghiên cứu của Oh et al. (2004).","Năm 2001, Chung et al. báo cáo rằng sử dụng đường uống của rễ Nhân sâm cho chuột KKAy mắc bệnh tiểu đường trong 4 tuần làm giảm mức đường huyết tương tự như thuốc nhạy cảm với insulin. Năm 2004, đã có báo cáo rằng chiết xuất ethanol trong Nhân sâm hoang dã có thể ngăn ngừa đái tháo đường tuýp 2 và béo phì ở chuột IRC thông qua việc cải thiện chỉ số kháng insulin và giảm đường kính tế bào mỡ trắng và nâu.",Hoạt tính sinh học - Chống đái tháo đường,Nhân sâm,https://youmed.vn/tin-tuc/nhan-sam-nhung-dieu-ban-co-the-chua-biet/
medicine_2425,Tác dụng dược lý của cây muối là gì?,"Cây muối có tác dụng hạ đường huyết, điều chỉnh lượng glucose hiệu quả trong ống nghiệm và các mô hình động vật.","Axit tannic, một hỗn hợp gallotannin có chứa pentagalloylglucose, được phát hiện có tác dụng hạ đường huyết ở bệnh nhân tiểu đường tuýp 2. Sử dụng tổng hợp pentagalloylglucose trong ống nghiệm và trong một thử nghiệm trên động vật, người ta đã chứng minh rằng pentagalloylglucose làm giảm hiệu quả mức đường huyết và insulin trong ống nghiệm và trên các mô hình động vật. Không giống như hầu hết các loại thuốc trị đái tháo đường, pentagalloylglucose có thể làm giảm lượng glucose trong máu mà không làm tăng mỡ.",Tác dụng dược lý - Hoạt động chống đái tháo đường,Cây muối,https://youmed.vn/tin-tuc/cay-muoi-cay-thuoc-cho-duong-tieu-hoa/
medicine_596,Bài thuốc từ Bông ổi có những tác dụng gì đối với người bệnh đái tháo đường?,"Bài thuốc giúp ổn định đường huyết trong máu và làm giảm hiện tượng tiểu khát, từ đó hỗ trợ cải thiện tình trạng bệnh tiểu đường.","- Thành phần của bài thuốc bao gồm 40g cây bông ổi khô. Dùng cả cành, lá và hoa của cây.
- Đem nấu với 1 lít nước. Đun sôi khoảng 5 phút thì tắt bếp
- Gạn ra, để nguội uống nhiều lần trong ngày như uống trà có tác dụng ổn định đường huyết trong máu, giúp bệnh nhân bị tiểu đường giảm bớt hiện tượng tiêu khát. >> Mời bạn tham khảo Top 7 loại trà dành cho người tiểu đường mà bạn cần biết",Một số cách sử dụng vị thuốc - Chữa bệnh đái tháo đường (tiểu đường),Bông ổi,https://youmed.vn/tin-tuc/cay-bong-oi-cay-thuoc-mang-mau-sac-cau-vong/
medicine_3382,"Theo nghiên cứu, tác dụng dược lý của dịch chiết nước từ lá cây cỏ ngọt là gì?","Theo nghiên cứu, dịch chiết nước từ lá cây cỏ ngọt có tác dụng chống tiểu đường ở chuột bạch tạng.","Trong nghiên cứu về đặc tính chống bệnh tiểu đường của chiết xuất nước từ lá trong bệnh tiểu đường do Streptozotocin gây ra ở chuột bạch tạng. Người ta kết luận rằng dung dịch nước của cây Cỏ ngọt có tác dụng chống tiểu đường ở chuột bạch tạng, và do đó có thể là liệu pháp dinh dưỡng đầy hứa hẹn để kiểm soát bệnh tiểu đường và các biến chứng liên quan của nó. Bằng chứng cho đến nay cho thấy glycoside steviol từ Cỏ ngọt là an toàn. Chất này không gây bệnh, không gây tăng huyết áp và có tác động tối thiểu đến hệ vi sinh vật đường ruột. Các nghiên cứu trên người đã báo cáo không có tác dụng phụ tiêu cực nào trên đường tiêu hóa. Khi được sử dụng để thay thế carbohydrate và đường trong chế độ ăn, các nghiên cứu với glycoside steviol có độ tinh khiết cao ở những người khỏe mạnh và những người mắc bệnh tiểu đường hỗ trợ giảm lượng đường trong máu sau ăn cũng như giảm lượng đường và năng lượng. Không có bằng chứng nào cho thấy sự thèm ăn đường hoặc các sản phẩm ngọt tăng lên khi tiêu thụ LNCS (chất tạo ngọt ít hoặc không có calo) hoặc thực phẩm chứa stevia. Do đó, chất làm ngọt chiết xuất từ ​​lá stevia là một công cụ hữu ích và quan trọng trong việc giảm lượng đường và calo, bệnh tiểu đường, quản lý cân nặng và lối sống lành mạnh. >> Xem thêm: Các dấu hiệu nhận biết và chẩn đoán đái tháo đường",Tác dụng dược lý - Chống đái tháo đường,Cỏ ngọt,https://youmed.vn/tin-tuc/co-ngot-giai-phap-cho-benh-nhan-tieu-duong/
medicine_4845,Cơ chế chính mà hoa đậu biếc kiểm soát lượng đường trong máu là gì?,"Hoa đậu biếc kiểm soát lượng đường trong máu bằng cách kích thích tuyến tụy sản sinh insulin, giúp kiểm soát lượng đường trong máu, đồng thời tăng insulin huyết thanh.","Theo nhiều nghiên cứu chứng minh, hoa đậu biếc có khả năng hỗ trợ kiểm soát lượng đường trong máu. Các nhà khoa học đã phát hiện tác động tích cực của chúng với bệnh nhân đái tháo đường như: - Kích thích tuyến tụy sản sinh insulin – chất giúp kiểm soát lượng đường trong máu, tăng insulin huyết thanh.
- Ngăn cản sự hấp thụ glucose từ thực phẩm.
- Hạn chế nguy cơ biến chứng do bệnh đái tháo đường gây ra.
- Ngoài ra, một số các kết quả khả quan khác được ghi nhận như giảm chỉ số HbA1c, tăng hoạt động glycogen ở gan, cơ và các enzym đường phân…",Hoa đậu biếc có tác dụng gì? - Thân thiện với người mắc bệnh đái tháo đường,Hoa đậu biếc,https://youmed.vn/tin-tuc/hoa-dau-biec-co-tac-dung-gi/
medicine_10503,Lectin chiết xuất từ Thiên hoa phấn có tác dụng như thế nào đối với chuột đái tháo đường phụ thuộc insulin?,Lectin chiết xuất từ Thiên hoa phấn có tác dụng hạ đường huyết trên chuột đái tháo đường phụ thuộc insulin.,"Lectin được chiết xuất từ Thiên hoa phấn cũng cho thấy tác dụng hạ đường huyết trên chuột đái tháo đường phụ thuộc insulin. Ngoài ra, các polysacharid gồm glycose, galactose, fructose, manose, xylose cũng được chứng minh có tác dụng hạ đường huyết. Vị thuốc này còn cho thấy vai trò trong việc giảm biến chứng của bệnh đái tháo đường.",Các nghiên cứu về Thiên hoa phấn - Hỗ trợ điều trị đái tháo đường,Thiên hoa phấn,https://youmed.vn/tin-tuc/thien-hoa-phan-co-cong-dung-gi/
medicine_4844,Hoa đậu biếc đem đến tác động tích cực gì đối với bệnh nhân đái tháo đường?,"Các nghiên cứu cho thấy hoa đậu biếc hỗ trợ kiểm soát lượng đường trong máu nhờ tác động tích cực tới bệnh nhân đái tháo đường, cụ thể như kích thích sản sinh insulin, ngăn cản sự hấp thụ glucose từ thức ăn, hạn chế nguy cơ biến chứng do bệnh đái tháo đường gây ra.","Theo nhiều nghiên cứu chứng minh, hoa đậu biếc có khả năng hỗ trợ kiểm soát lượng đường trong máu. Các nhà khoa học đã phát hiện tác động tích cực của chúng với bệnh nhân đái tháo đường như: - Kích thích tuyến tụy sản sinh insulin – chất giúp kiểm soát lượng đường trong máu, tăng insulin huyết thanh.
- Ngăn cản sự hấp thụ glucose từ thực phẩm.
- Hạn chế nguy cơ biến chứng do bệnh đái tháo đường gây ra.
- Ngoài ra, một số các kết quả khả quan khác được ghi nhận như giảm chỉ số HbA1c, tăng hoạt động glycogen ở gan, cơ và các enzym đường phân…",Hoa đậu biếc có tác dụng gì? - Thân thiện với người mắc bệnh đái tháo đường,Hoa đậu biếc,https://youmed.vn/tin-tuc/hoa-dau-biec-co-tac-dung-gi/
medicine_4515,Bằng cách nào dừa cạn hỗ trợ điều trị bệnh đái tháo đường (tiểu đường)?:,Dừa cạn hỗ trợ điều trị bệnh đái tháo đường bằng cách giúp làm tăng khả năng hấp thu glucose của các tế bào nhu mô tuyến tụy.,"Dừa cạn từ lâu đã được người dân địa phương ở nhiều quốc gia sử dụng để trị bệnh tiểu đường. Đã có nhiều thử nghiệm nghiên cứu về tác dụng này của dừa cạn. Kết quả cho thấy các hợp chất alkaloid vindoline, vindolidine, vindolicine và vindolinine, giúp làm tăng khả năng hấp thu glucose của các tế bào β-TC6 hoặc C2C12 của tụy. Ngoài ra còn có khả năng ức chế protein tyrosine phosphatase-1B (PTP-1B).",Dừa cạn có tác dụng gì ? - Hỗ trợ điều trị Đái tháo đường,Dừa cạn,https://youmed.vn/tin-tuc/dua-can-thuc-hu-ve-cong-dung-tri-ung-thu/
medicine_13368,Các thành phần chính của Đan sâm là gì?,Các thành phần chính của Đan sâm bao gồm axit salvianolic và tanshinones diterpenoid.,"Đan sâm thể hiện các hoạt động chống bệnh tiểu đường bằng cách điều trị các bệnh mạch máu lớn và nhỏ trong các thí nghiệm tiền lâm sàng và thử nghiệm lâm sàng thông qua việc cải thiện cân bằng nội môi oxy hóa khử và ức chế quá trình apoptosis và viêm thông qua điều chỉnh nhiều kênh tín hiệu trong cơ thể. Tác dụng chống đái tháo đường của loại thảo mộc này có thể liên quan đến các đặc tính cải thiện lưu thông máu và làm giảm ứ trệ máu theo Y học cổ truyền. Các thành phần chính của Đan sâm bao gồm axit salvianolic và tanshinones diterpenoid, đã được nghiên cứu kỹ trên động vật bị tiểu đường. Các nghiên cứu về độc tính cấp và bán cấp đã ủng hộ quan điểm rằng Đan sâm được dung nạp tốt.",Tác dụng dược lý Đan sâm - 5 Chống đái tháo đường,Đan sâm,https://youmed.vn/tin-tuc/dan-sam-vi-thuoc-lam-tan-huyet-u/
medicine_594,Những thành phần nào được dùng để làm bài thuốc chữa bệnh đái tháo đường (tiểu đường) từ Bông ổi?,"Bài thuốc bao gồm 40g cây bông ổi khô, dùng cả cành, lá và hoa của cây.","- Thành phần của bài thuốc bao gồm 40g cây bông ổi khô. Dùng cả cành, lá và hoa của cây.
- Đem nấu với 1 lít nước. Đun sôi khoảng 5 phút thì tắt bếp
- Gạn ra, để nguội uống nhiều lần trong ngày như uống trà có tác dụng ổn định đường huyết trong máu, giúp bệnh nhân bị tiểu đường giảm bớt hiện tượng tiêu khát. >> Mời bạn tham khảo Top 7 loại trà dành cho người tiểu đường mà bạn cần biết",Một số cách sử dụng vị thuốc - Chữa bệnh đái tháo đường (tiểu đường),Bông ổi,https://youmed.vn/tin-tuc/cay-bong-oi-cay-thuoc-mang-mau-sac-cau-vong/
body-part_1597,"Tại cơ, insulin có tác dụng gì?","Tại cơ, insulin thúc đẩy sử dụng glucose để tạo năng lượng và tổng hợp glycogen.","Tại cơ: đẩy mạnh sử dụng glucose tạo năng lượng, tổng hợp glycogen. Tại gan: đẩy mạnh sử dụng và dự trữ glucose. - Tổng hợp glycogen dự trữ sau bữa ăn
- Chuyển glucose thừa thành acid béo
- Ức chế tân tạo glucose Mô mỡ: tổng hợp triglyceride từ glucose. Tế bào thần kinh: sử dụng glucose không qua trung gian insulin. ",Vai trò insulin - Trên chuyển hóa glucid,Insulin,https://youmed.vn/tin-tuc/insulin-ban-da-thuc-su-hieu-ro-hay-chua/
body-part_1603,Insulin có tác dụng gì đối với chuyển hóa protein?,Insulin giúp tăng tổng hợp và dự trữ protein ở hầu hết các tế bào.,Tăng tổng hợp và dự trữ protein ở hầu hết các tế bào. Xem thêm: Xét nghiệm tiểu đường thai kỳ và những điều bạn cần biết,Vai trò insulin - Trên chuyển hóa protein,Insulin,https://youmed.vn/tin-tuc/insulin-ban-da-thuc-su-hieu-ro-hay-chua/
